ORIGEM	DESTINO	Faixa Et†ria	Escolaridade	Renda Familiar	Periodo do dia	Motivo	Principal Modal	Fez Integraá∆o?	Se sim, qual modal?	Tempo de Viagem	Frequància
Iguaiba	S∆o Lu°s - Cohama	35 a 44 anos	Ensino MÇdio completo	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Trabalho	‚nibus	SIM	‚nibus	Maior que 2h	Diariamente
Imperatriz 	Raposa	60 anos ou mais	Ensino Superior completo ou mais	Entre 4 e 10 sal†rios m°nimos	Manh∆ (5h - 12h)	Outros	Transporte por aplicativo (Uber, 99)	NAO		Entre 1 e 1h30	Raramente
Interestadual - Pernambuco, Goi†s, BelÇm 	Capital do Estado 	25 a 34 anos	Ensino Superior incompleto	AtÇ 1 sal†rio m°nimo	Madrugada (00h - 5h)	Estudo	‚nibus	NAO	‚nibus, Transporte por aplicativo (Uber, 99), A pÇ	Maior que 2h	Raramente
Itapecuru Mirim	Itapecuru mirim 	18 a 24 anos	Ensino Superior incompleto	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Visitar familiares 	‚nibus	NAO	Transporte por aplicativo (Uber, 99)	Entre 1h30 e 2h	Raramente
Itapecuru Mirim	Ros†rio	35 a 44 anos	Ensino MÇdio completo	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Trabalho	T Alternativo - Van	NAO	T Alternativo - Van	Entre 30 min e 1h	Diariamente
Itapecuru Mirim	Ros†rio	35 a 44 anos	Ensino MÇdio completo	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Trabalho	T Alternativo - Van	NAO	T Alternativo - Van	Entre 30 min e 1h	Diariamente
Itapecuru Mirim	S∆o Lu°s - Cohama	45 a 59 anos	Ensino MÇdio completo	AtÇ 1 sal†rio m°nimo	Manh∆ (5h - 12h)	Lazer / Turismo	T Alternativo - Van	NAO		Entre 1h30 e 2h	Raramente
Itapecuru Mirim 	S∆o Lu°s - Cohama	25 a 34 anos	Ensino Superior incompleto	AtÇ 1 sal†rio m°nimo	Manh∆ (5h - 12h)	Compras (ComÇrcio)	T Alternativo - Van	NAO		Maior que 2h	Raramente
Lago da pedra	S∆o Lu°s - Cohab	18 a 24 anos	Ensino MÇdio completo	Entre 2 e 4 sal†rios m°nimos	Madrugada (00h - 5h)	Estudo	T Alternativo - Van	NAO		Maior que 2h	2 a 3 vezes ao màs
Lago da Pedra 	S∆o Lu°s - Cohab	45 a 59 anos	Ensino MÇdio incompleto	Entre 4 e 10 sal†rios m°nimos	Tarde (12h - 18h)	Outros	Carro pr¢prio	NAO	Carro pr¢prio	Maior que 2h	2 a 3 vezes ao màs
Matinha	S∆o Lu°s - Centro	18 a 24 anos	Ensino Superior incompleto	Entre 2 e 4 sal†rios m°nimos	Manh∆ (5h - 12h)	Estudo	‚nibus	SIM	‚nibus	Entre 15 e 30 min	2 a 3 vezes ao màs
Matinha 	S∆o Lu°s - Centro	45 a 59 anos	Ensino Superior completo ou mais	Prefiro n∆o dizer	Noite (18h - 00h)	Trabalho	Carro pr¢prio	NAO		Maior que 2h	Semanalmente
Matinha 	S∆o Lu°s - Cidade Oper†ria	18 a 24 anos	Ensino MÇdio completo	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Sa£de (consultas mÇdicas, exames)	T Alternativo - Van	NAO		Maior que 2h	Raramente
Miranda do Norte 	S∆o Lu°s - Cohama	25 a 34 anos	Ensino Superior incompleto	AtÇ 1 sal†rio m°nimo	Manh∆ (5h - 12h)	Lazer / Turismo	T Alternativo - Carro (carrinho)	NAO		Entre 1h30 e 2h	Raramente
Morros	Ros†rio	25 a 34 anos	Ensino MÇdio completo	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Trabalho	Carro pr¢prio	NAO	Carro pr¢prio	Entre 30 min e 1h	Diariamente
Morros	Ros†rio	35 a 44 anos	Ensino MÇdio completo	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Trabalho	Carro pr¢prio	NAO	Carro pr¢prio	Entre 1 e 1h30	Diariamente
Morros	Ros†rio	35 a 44 anos	Ensino MÇdio completo	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Trabalho	Carro pr¢prio	NAO	Carro pr¢prio	Entre 30 min e 1h	Diariamente
Morros	Ros†rio	25 a 34 anos	Ensino Fundamental completo	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Trabalho	Carro pr¢prio	NAO	Carro pr¢prio	Entre 30 min e 1h	Diariamente
Morros	Morros	Menos de 18 anos	Ensino MÇdio incompleto	AtÇ 1 sal†rio m°nimo	Noite (18h - 00h)	Lazer / Turismo	‚nibus	SIM	‚nibus	Entre 1 e 1h30	Raramente
Morros	Raposa	25 a 34 anos	Ensino Fundamental completo	AtÇ 1 sal†rio m°nimo	Tarde (12h - 18h)	Serviáos (Cart¢rio, Detran, etc...)	T Alternativo - Carro (carrinho)	NAO		Entre 30 min e 1h	Raramente
Morros	Ros†rio	18 a 24 anos	Ensino MÇdio completo	AtÇ 1 sal†rio m°nimo	Manh∆ (5h - 12h)	Trabalho	T Alternativo - Carro (carrinho)	NAO	T Alternativo - Carro (carrinho)	Entre 30 min e 1h	Diariamente
Morros	Ros†rio	18 a 24 anos	Ensino MÇdio completo	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Trabalho	T Alternativo - Carro (carrinho)	NAO	T Alternativo - Carro (carrinho)	Entre 30 min e 1h	3 a 5 vezes por semana
Morros	Ros†rio	45 a 59 anos	Ensino Fundamental incompleto	Entre 1 e 2 sal†rios m°nimos	Tarde (12h - 18h)	Trabalho	T Alternativo - Carro (carrinho)	NAO	Moto pr¢pria, Bicicleta, A pÇ	Entre 30 min e 1h	2 a 3 vezes ao màs
Morros	Ros†rio	45 a 59 anos	Ensino Fundamental completo	Entre 1 e 2 sal†rios m°nimos	Tarde (12h - 18h)	Compras (ComÇrcio)	T Alternativo - Carro (carrinho)	NAO		Entre 1h30 e 2h	2 a 3 vezes ao màs
Morros	Santa Rita	60 anos ou mais	Ensino Fundamental incompleto	Entre 1 e 2 sal†rios m°nimos	Tarde (12h - 18h)	Trabalho	T Alternativo - Van	SIM	T Alternativo - Carro (carrinho)	Entre 1h30 e 2h	2 a 3 vezes ao màs
