Carimbo de data/hora;Qual sua faixa etária?;Qual seu nível de escolaridade?;Qual sua renda familiar mensal?;A sua última viagem intermunicipal (entre municípios) foi:;A viagem foi realizada em qual período do dia?;Qual o motivo da viagem?;Motivo Agrupado;Qual o município de ORIGEM;Qual o município de DESTINO;Qual foi o principal meio de transporte que você usou?;Modal Agrupado;Quanto tempo durou a viagem?;Com que frequência você faz essa viagem?
2025/03/14 9:09:26 PM GMT-3;18 a 24 anos;Ensino Superior incompleto;Até 1 salário mínimo;Rotineira (faço regularmente, como trabalho ou estudo);Noite (18h - 00h);Estudo;Estudo;São Luís;Paço do Lumiar;Ônibus;Ônibus;Mais de 2 horas;Todos os dias
2025/03/14 9:35:27 PM GMT-3;45 a 59 anos;Ensino Superior completo ou mais;Entre 2 e 4 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Trabalho;Trabalho;São Luís;Paulinho Neves ;Transporte alternativo - Van;Transporte Alternativo;Entre 15 e 30 minutos;Todos os dias
2025/03/14 10:29:07 PM GMT-3;60 anos ou mais;Ensino Superior completo ou mais;Prefiro não dizer;Pontual (evento esporádico, como consulta médica, lazer, etc.);Madrugada (00h - 5h);Lazer;Lazer;São Luís;FORA DA RMGSL;Transporte por aplicativo (Uber, 99);Transporte por Aplicativo;Entre 30 e 60 minutos;Muito raramente
2025/03/15 5:59:29 AM GMT-3;45 a 59 anos;Ensino Superior incompleto;Prefiro não dizer;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Trabalho;Trabalho;São Luís;FORA DA RMGSL;Transporte alternativo - Van;Transporte Alternativo;Entre 30 e 60 minutos;Todos os dias
2025/03/15 8:52:49 AM GMT-3;45 a 59 anos;Ensino Superior completo ou mais;Acima de 10 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Trabalho;Trabalho;São Luís;FORA DA RMGSL;Ônibus;Ônibus;Entre 1 e 2 horas;3 a 5 vezes por semana
2025/03/15 9:21:20 AM GMT-3;45 a 59 anos;Ensino Superior completo ou mais;Entre 2 e 4 salários mínimos;Pontual (evento esporádico, como consulta médica, lazer, etc.);Tarde (12h - 18h);Compras e serviços;Compras e serviços;Cachoeira Grande;Presidente Juscelino ;Ônibus;Ônibus;Entre 30 e 60 minutos;Muito raramente
2025/03/15 9:22:22 AM GMT-3;25 a 34 anos;Ensino Médio completo;Entre 1 e 2 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Trabalho;Trabalho;São Luís;Raposa;Carro próprio;Carro próprio;Entre 15 e 30 minutos;Todos os dias
2025/03/15 9:23:49 AM GMT-3;25 a 34 anos;Ensino Médio completo;Entre 2 e 4 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Trabalho;Trabalho;São Luís;Raposa;Moto própria;Moto própria;Entre 15 e 30 minutos;Todos os dias
2025/03/15 10:18:46 AM GMT-3;60 anos ou mais;Ensino Superior completo ou mais;Acima de 10 salários mínimos;Pontual (evento esporádico, como consulta médica, lazer, etc.);Manhã (5h - 12h);Solicitação de documento na prefeitura;Trabalho;São Luís;Raposa;Carro próprio;Carro próprio;Entre 30 e 60 minutos;Muito raramente
2025/03/15 10:21:58 AM GMT-3;25 a 34 anos;Ensino Médio incompleto;Prefiro não dizer;Pontual (evento esporádico, como consulta médica, lazer, etc.);Tarde (12h - 18h);Lazer;Lazer;São Luís;Raposa;Transporte alternativo - Van;Transporte Alternativo;Mais de 2 horas;Muito raramente
2025/03/15 10:54:52 AM GMT-3;35 a 44 anos;Ensino Superior completo ou mais;Entre 4 e 10 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Trabalho;Trabalho;São Luís;Raposa;Carro próprio;Carro próprio;Entre 1 e 2 horas;1 a 2 vezes por semana
2025/03/15 12:13:22 PM GMT-3;Menos de 18 anos;Ensino Médio incompleto;Até 1 salário mínimo;Pontual (evento esporádico, como consulta médica, lazer, etc.);Tarde (12h - 18h);Necessidades;Trabalho;São Luís;Raposa;Transporte alternativo - Van;Transporte Alternativo;Entre 1 e 2 horas;1 a 3 vezes por mês
2025/03/15 12:18:14 PM GMT-3;Menos de 18 anos;Ensino Médio incompleto;Até 1 salário mínimo;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Estudo;Estudo;São Luís;Raposa;Ônibus;Ônibus;Entre 15 e 30 minutos;3 a 5 vezes por semana
2025/03/15 12:22:24 PM GMT-3;Menos de 18 anos;Ensino Médio incompleto;Prefiro não dizer;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Estudo;Estudo;São Luís;Raposa;Ônibus;Ônibus;Entre 15 e 30 minutos;Todos os dias
2025/03/15 12:27:08 PM GMT-3;45 a 59 anos;Ensino Superior completo ou mais;Entre 4 e 10 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Tarde (12h - 18h);Trabalho;Trabalho;Bacabeira;Rosário;Carro próprio;Carro próprio;Entre 1 e 2 horas;3 a 5 vezes por semana
2025/03/15 12:28:34 PM GMT-3;Menos de 18 anos;Ensino Médio incompleto;Até 1 salário mínimo;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Estudo;Estudo;Cachoeira Grande;Rosário;Ônibus;Ônibus;Entre 30 e 60 minutos;3 a 5 vezes por semana
2025/03/15 12:30:30 PM GMT-3;18 a 24 anos;Ensino Superior completo ou mais;Entre 4 e 10 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Trabalho;Trabalho;Cachoeira Grande;Rosário;Ônibus;Ônibus;Entre 1 e 2 horas;3 a 5 vezes por semana
2025/03/15 12:39:37 PM GMT-3;Menos de 18 anos;Ensino Médio incompleto;Entre 4 e 10 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Estudo;Estudo;Morros;Rosário;Ônibus;Ônibus;Entre 30 e 60 minutos;3 a 5 vezes por semana
2025/03/15 12:49:56 PM GMT-3;45 a 59 anos;Ensino Superior completo ou mais;Entre 2 e 4 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Trabalho;Trabalho;Paço do Lumiar;Rosário;Ônibus;Ônibus;Entre 1 e 2 horas;3 a 5 vezes por semana
2025/03/15 12:58:32 PM GMT-3;Menos de 18 anos;Ensino Médio incompleto;Entre 4 e 10 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Estudo;Estudo;Presidente Juscelino;Rosário;Ônibus;Ônibus;Entre 15 e 30 minutos;3 a 5 vezes por semana
